HospitalCode,HospitalName
NQT5K,ST MARTINS HOSPITAL
NAM11,ST. CLARE MEDICAL CENTRE
NHW01,STANDARD HEALTH LTD HQ
RWJ,STOCKPORT NHS FOUNDATION TRUST
NVC1H,STOURSIDE HOSPITAL
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE)
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST
U8P2Z,SUSSEX COMMUNITY DERMATOLOGY SERVICE (RAINHAM HEALTHY LIVING CENTRE)
R6E4R,SUSSEX COMMUNITY DERMATOLOGY SERVICE (ROCHESTER HEALTHY LIVING CENTRE)
Y4Z7I,SUSSEX COMMUNITY DERMATOLOGY SERVICE (SPRINGHEAD HEALTH)
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST
NNV2J,TEDDINGTON MEMORIAL HOSPITAL
NVC0R,TEES VALLEY HOSPITAL
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST"
AAH01,TETBURY HOSPITAL TRUST
NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL
NVC25,THE CHERWELL HOSPITAL
RBV,THE CHRISTIE NHS FOUNDATION TRUST
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST
NXM01,THE HORDER CENTRE - ST JOHNS ROAD
NXM04,THE MCINDOE CENTRE
DX101,THE NEW FOSCOTE HOSPITAL (FOSCOTE HOSPITAL)
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST"
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RFR,THE ROTHERHAM NHS FOUNDATION TRUST
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST
DPK01,THE STONEYGATE EYE HOSPITAL - LONDON ROAD
NT255,THE VALE HOSPITAL
RET,THE WALTON CENTRE NHS FOUNDATION TRUST
NVC44,THE WESTBOURNE CENTRE
NVC20,THE YORKSHIRE CLINIC
NT440,THORNBURY HOSPITAL
NT441,THREE SHIRES HOSPITAL
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST
NN401,TYNESIDE SURGICAL SERVICES
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST
RRK-X,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST
RYR-X,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST
RBK,WALSALL HEALTHCARE NHS TRUST
NTV0S,WALTON COMMUNITY HOSPITAL
AXG03,WARMINSTER COMMUNITY HOSPITAL
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST
NYG42,WEST KENT DERMATOLOGY - AMHERST MEDICAL PRACTICE
NYG32,WEST KENT DERMATOLOGY - BOROUGH GREEN MEDICAL PRACTICE
NYG39,WEST KENT DERMATOLOGY - EDENBRIDGE & DISTRICT WAR MEMORIAL HOSPITAL
NYG0A,WEST KENT DERMATOLOGY - LEN VALLEY PRACTICE
NYG31,WEST KENT DERMATOLOGY - SEVENOAKS HOSPITAL
NYG0E,WEST KENT DERMATOLOGY - SNODLAND MEDICAL PRACTICE
NYG0D,WEST KENT DERMATOLOGY - THORNHILLS MEDICAL PRACTICE
NVC21,WEST MIDLANDS HOSPITAL
RGR,WEST SUFFOLK NHS FOUNDATION TRUST
NVC0M,WEST VALLEY HOSPITAL
RA3,WESTON AREA HEALTH NHS TRUST
DM801,WEYMOUTH STREET HOSPITAL
NXP17,WHITE HORSE HEALTH CENTRE - IHG
NEY05,WHITE ROSE SURGERY
RKE,WHITTINGTON HEALTH NHS TRUST
AXG01,WILTSHIRE HEALTH & CARE (CHIPPENHAM)
NHW03,WIMBOURNE COMMUNITY HOSPITAL (STANDARD HEALTH)
NVC22,WINFIELD HOSPITAL
NT443,WINTERBOURNE HOSPITAL
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST
NTV0O,WOKING COMMUNITY HOSPITAL
NVC23,WOODLAND HOSPITAL
NT457,WOODLANDS HOSPITAL
NVC40,WOODTHORPE HOSPITAL
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST
RWP-X,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
RLQ,WYE VALLEY NHS TRUST
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST
NNV01,YOUR HEALTHCARE (HOLLYFIELD HOUSE)
AELQ,YOUR HEALTHCARE COMMUNITY INTEREST COMPANY
